Domain,TTL,Record_Type,IP_Address
modern-finding.com.,300,A,"201.6.245.234"""
modern-finding.com.,300,A,"209.41.200.129"""
modern-finding.com.,300,A,"66.45.231.74"""
modern-finding.com.,300,A,"66.240.84.56"""
modern-finding.com.,300,A,"68.236.210.184"""
modern-finding.com.,300,A,"69.198.5.210"""
ns4.magnifindings.com.,172800,A,"66.45.231.74"""
ns1.verity-fresh.com.,172800,A,"72.254.80.121"""
ns2.desistylish.com.,172800,A,"75.41.185.57"""
service-finest.com.,300,A,"68.236.210.184"""
service-finest.com.,300,A,"69.198.5.210"""
service-finest.com.,300,A,"201.6.245.234"""
service-finest.com.,300,A,"209.41.200.129"""
service-finest.com.,300,A,"66.45.231.74"""
service-finest.com.,300,A,"66.240.84.56"""
ns4.magnifindings.com.,172800,A,"66.45.231.74"""
ns1.verity-fresh.com.,172800,A,"72.254.80.121"""
ns2.desistylish.com.,172800,A,"75.41.185.57"""
super-meds-power.com.,300,A,"66.240.84.56"""
super-meds-power.com.,300,A,"68.236.210.184"""
super-meds-power.com.,300,A,"69.198.5.210"""
super-meds-power.com.,300,A,"201.6.245.234"""
super-meds-power.com.,300,A,"209.41.200.129"""
super-meds-power.com.,300,A,"66.45.231.74"""
ns1.verity-fresh.com.,172800,A,"72.254.80.121"""
ns2.desistylish.com.,172800,A,"75.41.185.57"""
ns4.magnifindings.com.,172800,A,"66.45.231.74"""
underwayservice.com.,300,A,"66.45.231.74"""
underwayservice.com.,300,A,"66.240.84.56"""
underwayservice.com.,300,A,"68.236.210.184"""
underwayservice.com.,300,A,"69.198.5.210"""
underwayservice.com.,300,A,"201.6.245.234"""
underwayservice.com.,300,A,"209.41.200.129"""
ns4.magnifindings.com.,172800,A,"66.45.231.74"""
ns1.verity-fresh.com.,172800,A,"72.254.80.121"""
ns2.desistylish.com.,172800,A,"75.41.185.57"""
coolest-cyber-zone.com.,300,A,"66.240.84.56"""
coolest-cyber-zone.com.,300,A,"68.236.210.184"""
coolest-cyber-zone.com.,300,A,"69.198.5.210"""
coolest-cyber-zone.com.,300,A,"201.6.245.234"""
coolest-cyber-zone.com.,300,A,"209.41.200.129"""
coolest-cyber-zone.com.,300,A,"66.45.231.74"""
ns4.magnifindings.com.,172800,A,"66.45.231.74"""
ns1.verity-fresh.com.,172800,A,"72.254.80.121"""
ns2.desistylish.com.,172800,A,"75.41.185.57"""
e-advice-center.com.,300,A,"69.198.5.210"""
e-advice-center.com.,300,A,"201.6.245.234"""
e-advice-center.com.,300,A,"209.41.200.129"""
e-advice-center.com.,300,A,"66.45.231.74"""
e-advice-center.com.,300,A,"66.240.84.56"""
e-advice-center.com.,300,A,"68.236.210.184"""
ns2.desistylish.com.,172800,A,"75.41.185.57"""
ns4.magnifindings.com.,172800,A,"66.45.231.74"""
ns1.verity-fresh.com.,172800,A,"72.254.80.121"""
iwwmkkdi.cn.,,IN,A
iwwmkkdi.cn.,,IN,A
iwwmkkdi.cn.,,IN,A
iwwmkkdi.cn.,,IN,A
iwwmkkdi.cn.,,IN,A
iwwmkkdi.cn.,,IN,A
iwwmkkdi.cn.,,IN,A
iwwmkkdi.cn.,,IN,A
ns2.frubjnfew.com.,153938,A,"85.66.145.238"""
ns3.cjinthe.com.,153938,A,"78.96.212.238"""
ns4.frubjnfew.com.,153938,A,"219.241.174.102"""
ns1.cjinthe.com.,153938,A,"72.185.78.169"""
iixhhwmc.cn.,,IN,A
iixhhwmc.cn.,,IN,A
iixhhwmc.cn.,,IN,A
iixhhwmc.cn.,,IN,A
iixhhwmc.cn.,,IN,A
iixhhwmc.cn.,,IN,A
iixhhwmc.cn.,,IN,A
iixhhwmc.cn.,,IN,A
ns1.cjinthe.com.,156027,A,"72.185.78.169"""
ns2.frubjnfew.com.,156133,A,"157.193.84.63"""
ns3.cjinthe.com.,156110,A,"81.198.13.191"""
ns4.frubjnfew.com.,156133,A,"83.103.134.205"""
iixdfhhj.cn.,,IN,A
iixdfhhj.cn.,,IN,A
iixdfhhj.cn.,,IN,A
iixdfhhj.cn.,,IN,A
iixdfhhj.cn.,,IN,A
iixdfhhj.cn.,,IN,A
iixdfhhj.cn.,,IN,A
iixdfhhj.cn.,,IN,A
ns2.frubjnfew.com.,158710,A,"77.123.92.187"""
ns3.cjinthe.com.,159521,A,"88.201.148.218"""
ns4.frubjnfew.com.,158952,A,"77.122.104.49"""
ns1.cjinthe.com.,158910,A,"72.185.78.169"""
iiwwexpd.cn.,,IN,A
iiwwexpd.cn.,,IN,A
iiwwexpd.cn.,,IN,A
iiwwexpd.cn.,,IN,A
iiwwexpd.cn.,,IN,A
iiwwexpd.cn.,,IN,A
iiwwexpd.cn.,,IN,A
iiwwexpd.cn.,,IN,A
ns2.frubjnfew.com.,156122,A,"157.193.84.63"""
ns3.cjinthe.com.,156099,A,"81.198.13.191"""
ns4.frubjnfew.com.,156122,A,"83.103.134.205"""
ns1.cjinthe.com.,156016,A,"72.185.78.169"""
iiimlfex.cn.,,IN,A
iiimlfex.cn.,,IN,A
iiimlfex.cn.,,IN,A
iiimlfex.cn.,,IN,A
iiimlfex.cn.,,IN,A
iiimlfex.cn.,,IN,A
iiimlfex.cn.,,IN,A
iiimlfex.cn.,,IN,A
ns3.cjinthe.com.,154101,A,"78.96.212.238"""
ns4.frubjnfew.com.,154228,A,"219.241.174.102"""
ns1.cjinthe.com.,153760,A,"72.185.78.169"""
ns2.frubjnfew.com.,154228,A,"85.66.145.238"""
iiidhwwf.cn.,,IN,A
iiidhwwf.cn.,,IN,A
iiidhwwf.cn.,,IN,A
iiidhwwf.cn.,,IN,A
iiidhwwf.cn.,,IN,A
iiidhwwf.cn.,,IN,A
iiidhwwf.cn.,,IN,A
iiidhwwf.cn.,,IN,A
ns1.cjinthe.com.,155148,A,"72.185.78.169"""
ns2.frubjnfew.com.,154382,A,"85.66.145.238"""
ns3.cjinthe.com.,154366,A,"78.96.212.238"""
ns4.frubjnfew.com.,154339,A,"219.241.174.102"""
iidwhxdf.cn.,,IN,A
iidwhxdf.cn.,,IN,A
iidwhxdf.cn.,,IN,A
iidwhxdf.cn.,,IN,A
iidwhxdf.cn.,,IN,A
iidwhxdf.cn.,,IN,A
iidwhxdf.cn.,,IN,A
iidwhxdf.cn.,,IN,A
ns2.frubjnfew.com.,163709,A,"67.149.22.150"""
ns3.cjinthe.com.,163709,A,"93.72.171.84"""
ns4.frubjnfew.com.,163709,A,"87.207.236.207"""
ns1.cjinthe.com.,163709,A,"72.185.78.169"""
idsrt-d02.eu.,,IN,A
idsrt-d02.eu.,,IN,A
idsrt-d02.eu.,,IN,A
idsrt-d02.eu.,,IN,A
idsrt-d02.eu.,,IN,A
idsrt-d02.eu.,,IN,A
idsrt-d02.eu.,,IN,A
idsrt-d02.eu.,,IN,A
idsrt-d02.eu.,,IN,A
idsrt-d02.eu.,,IN,A
idsrt-d02.eu.,,IN,A
idsrt-d02.eu.,,IN,A
idsrt-d02.eu.,,IN,A
idsrt-d02.eu.,,IN,A
idsrt-d02.eu.,,IN,A
ns2.citiservise.net.,166567,A,"216.22.212.21"""
ns1.avalonge.com.,166567,A,"66.219.22.18"""
ns1.citiservise.net.,166567,A,"8.12.160.176"""
ns2.avalonge.com.,166567,A,"216.229.22.31"""
idlkhhcx.cn.,,IN,A
idlkhhcx.cn.,,IN,A
idlkhhcx.cn.,,IN,A
idlkhhcx.cn.,,IN,A
idlkhhcx.cn.,,IN,A
idlkhhcx.cn.,,IN,A
idlkhhcx.cn.,,IN,A
idlkhhcx.cn.,,IN,A
ns2.frubjnfew.com.,154370,A,"85.66.145.238"""
ns3.cjinthe.com.,154354,A,"78.96.212.238"""
ns4.frubjnfew.com.,154327,A,"219.241.174.102"""
ns1.cjinthe.com.,155136,A,"72.185.78.169"""
idfixhim.cn.,,IN,A
idfixhim.cn.,,IN,A
idfixhim.cn.,,IN,A
idfixhim.cn.,,IN,A
idfixhim.cn.,,IN,A
idfixhim.cn.,,IN,A
idfixhim.cn.,,IN,A
idfixhim.cn.,,IN,A
ns4.frubjnfew.com.,157719,A,"93.72.248.230"""
ns1.cjinthe.com.,158035,A,"72.185.78.169"""
ns2.frubjnfew.com.,157737,A,"91.116.168.182"""
ns3.cjinthe.com.,157733,A,"82.193.117.207"""
wwhhcfid.cn.,,IN,A
wwhhcfid.cn.,,IN,A
wwhhcfid.cn.,,IN,A
wwhhcfid.cn.,,IN,A
